"longitude","latitude","sst","chlc","phoebastria_immutabilis","nyear","nmonth"
-119.27682,28.032442,18.05481,0.07636529,1,2014,3
-115.76499,28.033197,17.360422,0.20866159,1,2014,3
-117.37423,28.033728,18.160364,0.11368661,1,2014,3
-116.17392,28.034365,17.880444,0.130548,1,2014,3
-117.16154,28.041428,18.05625,0.12583199,1,2014,3
-119.23615,28.047417,18.066044,0.073793404,1,2014,3
-115.744865,28.049566,17.36524,0.22843465,1,2014,3
-116.169556,28.05026,17.892313,0.12553278,1,2014,3
-116.19538,28.053204,17.926653,0.12238845,1,2014,3
-115.81406,28.055696,17.355534,0.21559587,1,2014,3
-117.51975,28.055885,18.133818,0.09241047,1,2014,3
-117.564804,28.057108,18.122149,0.09151712,1,2014,3
-119.32798,28.05984,17.98349,0.08330541,1,2014,3
-115.73008,28.061478,17.347937,0.23061177,1,2014,3
-117.61408,28.06173,18.126003,0.09261875,1,2014,3
-117.43163,28.061802,18.140087,0.09275834,1,2014,3
-117.18589,28.062403,18.013803,0.13561054,1,2014,3
-116.07584,28.06337,17.789255,0.13523199,1,2014,3
-117.469315,28.063547,18.137247,0.09037542,1,2014,3
-117.40032,28.065517,18.134918,0.09392793,1,2014,3
-119.19665,28.066648,18.024687,0.07058951,1,2014,3
-116.061195,28.066648,17.7397,0.13826193,1,2014,3
-115.66666,28.07071,17.311155,0.24087045,1,2014,3
-117.64717,28.071709,18.132336,0.09172948,1,2014,3
-115.77152,28.07205,17.34199,0.20485947,1,2014,3
-117.696915,28.072512,18.133059,0.08714884,1,2014,3
-117.2154,28.079891,18.027784,0.13263062,1,2014,3
-115.91849,28.081278,17.546904,0.15034363,1,2014,3
-119.30471,28.087198,17.989845,0.08330151,1,2014,3
-116.15206,28.087858,17.908833,0.12207552,1,2014,3
-117.72017,28.088892,18.148993,0.085468866,1,2014,3
-117.40366,28.089212,18.106451,0.09143102,1,2014,3
-116.04933,28.093073,17.76943,0.14077213,1,2014,3
-116.13591,28.096083,17.869446,0.12565227,1,2014,3
-117.42781,28.096632,18.100647,0.08825325,1,2014,3
-117.763985,28.097273,18.153908,0.088393174,1,2014,3
-117.23931,28.097788,18.028706,0.10647669,1,2014,3
-116.07341,28.099026,17.820276,0.13703915,1,2014,3
-115.707985,28.100342,17.305492,0.23476793,1,2014,3
-119.20455,28.101328,17.98722,0.075218536,1,2014,3
-119.28816,28.102003,17.943338,0.07988062,1,2014,3
-117.79954,28.102844,18.15496,0.08430428,1,2014,3
-115.77146,28.10442,17.324665,0.20542987,1,2014,3
-115.735756,28.106316,17.311718,0.22220567,1,2014,3
-117.263466,28.108643,18.049763,0.103827156,1,2014,3
-117.84257,28.109108,18.164602,0.07924265,1,2014,3
-115.643295,28.110756,17.252367,0.26226807,1,2014,3
-115.80386,28.114956,17.353968,0.19907258,1,2014,3
-115.86566,28.116432,17.416445,0.18426196,1,2014,3
-119.266205,28.11923,17.964655,0.07882483,1,2014,3
-115.654816,28.1208,17.284475,0.24153121,1,2014,3
-118.200584,28.12084,18.034264,0.086740196,1,2014,3
-117.88028,28.123482,18.166685,0.08118186,1,2014,3
-117.41119,28.125137,18.064838,0.093293935,1,2014,3
-116.04776,28.125217,17.788904,0.13582848,1,2014,3
-119.14682,28.125483,17.932077,0.07426044,1,2014,3
-116.06867,28.126488,17.830217,0.13674328,1,2014,3
-117.27871,28.126892,18.04516,0.09404067,1,2014,3
-117.49396,28.127022,18.055391,0.090909414,1,2014,3
-116.00337,28.127638,17.753927,0.135223,1,2014,3
-115.59938,28.131453,17.196564,0.2646802,1,2014,3
-115.854935,28.133432,17.427324,0.19096938,1,2014,3
-118.152596,28.133577,17.96211,0.08947629,1,2014,3
-115.74749,28.13476,17.300608,0.22939253,1,2014,3
-117.9179,28.13606,18.121777,0.086038575,1,2014,3
-119.23447,28.13755,17.956326,0.07128723,1,2014,3
-119.10855,28.144964,17.947962,0.07627209,1,2014,3
-117.98379,28.145794,18.049622,0.084208906,1,2014,3
-115.78698,28.149136,17.32702,0.22545587,1,2014,3
-117.3093,28.150347,18.048203,0.09542088,1,2014,3
-118.22496,28.150711,17.974125,0.08957176,1,2014,3
-117.34679,28.150768,18.062292,0.092243984,1,2014,3
